Family	Type	species	n_genes	median_degree	mean_degree	median_strength	median_transitivity	pct_on_conserved	pct_N_correlated
C2C2-YABBY	TFF	purple	30	386	4602.2	122.95	0.354	33.3	0
EIL	TFF	purple	30	1124.5	14214.3	412.99	0.618	33.3	0
SRS	TFF	purple	30	1038	4541	230.53	0.529	3.3	0
ARR-B	TFF	purple	29	1824	9157.4	237.27	0.649	34.5	0
BBR/BPC	TFF	purple	27	3747	13384.7	609.8	0.61	25.9	0
TFIID	TFF	purple	23	2209	10062	488.71	0.643	0	0
zf-fF-X1	TFF	purple	23	2144	11142.8	278.77	0.49	30.4	0
DBP	TFF	purple	21	1198	6727.1	242.49	0.402	38.1	0
Rcd1-like	OTR	purple	20	2342.5	9131.5	407.36	0.546	15	0
SWI/SNF-SWI3	OTR	purple	19	7031	12481.9	1862.72	0.564	57.9	0
Not1	TFF	purple	17	16184	17509.4	3043.68	0.698	58.8	0
Coactivator_p15	OTR	purple	17	1352	14530.7	239.33	0.642	35.3	0
SART-1	OTR	purple	16	738.5	12442.4	88.33	0.66	75	0
PBF-2-like	TFF	purple	16	7183	11439.2	1589.15	0.589	37.5	0
NOT2_3_5	OTR	purple	15	2018	10359.3	327.55	0.514	40	0
G2-like	TFF	purple	15	10270	9965.5	3152.42	0.583	60	0
CAMTA	TFF	purple	13	20557	18318.5	4937.96	0.693	38.5	0
VOZ	TFF	purple	13	5484	11348.3	1616.15	0.586	15.4	0
CSD	TFF	purple	13	1420	15225.4	338.38	0.691	46.2	0
zf-MIZ	OTR	purple	12	1744	11630.8	334.8	0.644	16.7	0
Tudor-knot	OTR	purple	11	247	7960.5	30.53	0.476	36.4	0
RB	OTR	purple	11	602	5307.9	75.33	0.565	27.3	0
MBF1	OTR	purple	11	9249	14330.5	2173.4	0.658	45.5	0
SGT1	OTR	purple	9	14086	17676.6	3302.75	0.709	11.1	0
SOH1	OTR	purple	8	19439	17637.6	6688.57	0.732	12.5	0
C1-4-t1	TFF	purple	8	1054.5	11080.5	177.57	0.514	12.5	0
MED6	OTR	purple	8	35218.5	27563	16669.47	0.71	37.5	0
HRT	TFF	purple	7	2663	15838.7	356.79	0.681	28.6	0
MED7	OTR	purple	7	94	11192.4	17.26	0.416	0	0
Yl1	TFF	purple	6	13526.5	14989.7	3118.33	0.627	33.3	0
TFIIS	TFF	purple	5	6730	13579.8	1756.54	0.505	80	0
NOZZLE	TFF	purple	1	126	126	42.78	0.337	0	0
AP2-EREBP	TFF	sugarcane	515	22	483.7	3.71	0.467	27.6	1.4
bHLH	TFF	sugarcane	475	29	693.8	5.66	0.484	29.5	1.5
MYB	TFF	sugarcane	430	34	667.6	5.7	0.466	27.2	0.9
MYB-related	TFF	sugarcane	413	45	1452	5.97	0.533	39.2	2.9
NAC	TFF	sugarcane	357	22	772.2	3.72	0.426	30	1.7
WRKY	TFF	sugarcane	349	24	662.4	3.71	0.438	34.1	2.3
bZIP	TFF	sugarcane	291	22	1336.3	3.59	0.508	33.3	3.1
C2H2	TFF	sugarcane	226	32	604.2	5.27	0.506	29.2	0.9
GRAS	TFF	sugarcane	210	16.5	808.8	2.8	0.518	34.8	0.5
TRAF	OTR	sugarcane	192	86	2241.4	13.05	0.589	35.4	1
ABI3VP1	TFF	sugarcane	167	18	1083.4	2.91	0.402	22.2	0.6
CCAAT	TFF	sugarcane	164	76	1677.2	9.93	0.491	43.9	6.1
Top	TFF	sugarcane	155	203	3685.3	24.12	0.638	69	0.6
C3H	TFF	sugarcane	146	138	2629.8	18.12	0.668	52.1	0
SET	OTR	sugarcane	142	121	2299	12.16	0.637	52.1	0.7
MADS	TFF	sugarcane	136	15	621.9	3.07	0.393	21.3	0
PHD	OTR	sugarcane	123	61	1781.9	5.9	0.705	64.2	2.4
AUX/IAA	OTR	sugarcane	121	71	782.7	10.23	0.426	36.4	0.8
ARF	TFF	sugarcane	113	94	1083.6	11.4	0.444	59.3	9.7
HB	TFF	sugarcane	109	59	611.9	9.03	0.509	48.6	3.7
GNAT	OTR	sugarcane	106	115.5	1643.8	13.78	0.583	45.3	0.9
mTERF	OTR	sugarcane	96	59.5	2133.6	7.96	0.599	38.5	1
OFP	TFF	sugarcane	93	14	81.7	3.08	0.333	8.6	0
HSF	TFF	sugarcane	91	25	1154.3	3.45	0.558	29.7	0
Tify	TFF	sugarcane	90	26.5	589.7	4.16	0.415	34.4	0
C2C2-Dof	TFF	sugarcane	85	9	626.5	1.39	0.451	30.6	0
FAR1	TFF	sugarcane	78	169	2679.6	27.64	0.648	48.7	0
C2C2-GATA	TFF	sugarcane	73	32	1041.7	5.72	0.55	26	0
PAS	TFF	sugarcane	68	184	2131.4	30.25	0.509	61.8	4.4
FHA	TFF	sugarcane	63	220	3019	33.83	0.667	58.7	11.1
SBP	TFF	sugarcane	61	34	1361.3	3.78	0.6	32.8	0
TUB	TFF	sugarcane	55	56	1976.8	5.37	0.571	36.4	0
SAP	TFF	sugarcane	54	134	2612.1	21.15	0.646	63	1.9
TCP	TFF	sugarcane	52	12.5	144.4	1.81	0.528	13.5	0
SWI/SNF-BAF60b	OTR	sugarcane	50	134.5	2070.3	19.34	0.738	60	2
MED26	OTR	sugarcane	49	237	1963.9	24.33	0.65	65.3	10.2
zf-A20	TFF	sugarcane	40	34	1081.1	4.17	0.353	32.5	5
Alfin-like	TFF	sugarcane	40	63.5	1998.8	5.59	0.621	57.5	5
RWP-RK	TFF	sugarcane	39	164	1696.8	20.8	0.46	51.3	10.3
HMG	OTR	sugarcane	39	47	780	5.71	0.44	48.7	5.1
zf-HD	TFF	sugarcane	38	20	589.8	3.77	0.5	18.4	0
PLATZ	TFF	sugarcane	37	23	488.7	4.89	0.43	32.4	2.7
zf-BED	TFF	sugarcane	37	341	3885.3	46.26	0.73	51.4	2.7
Jumonji	OTR	sugarcane	36	68	2338.1	6.37	0.672	50	2.8
C2C2-CO-like	TFF	sugarcane	35	8	155.1	1.55	0.438	42.9	2.9
LIM	TFF	sugarcane	35	367	3058.1	55.93	0.527	57.1	0
BSD	TFF	sugarcane	34	670	4381.3	67.4	0.699	50	0
DDT	OTR	sugarcane	33	139	2317.7	11.4	0.69	66.7	0
Sigma70-like	TFF	sugarcane	32	281	614.9	47.75	0.4	71.9	0
GeBP	TFF	sugarcane	32	119	3485.3	19.22	0.667	46.9	0
TAZ	TFF	sugarcane	32	147	1743.9	19.19	0.501	40.6	0
zf-LSD1	TFF	sugarcane	29	6	2429.7	1.11	0.733	51.7	0
TIG	TFF	sugarcane	28	416.5	4463.1	49.91	0.601	78.6	0
ARID	OTR	sugarcane	28	350.5	1807.2	45.33	0.654	75	0
GRF	TFF	sugarcane	27	58	937.8	8.56	0.624	25.9	0
Pseudo_ARR-B	OTR	sugarcane	27	186	911.6	32.58	0.391	74.1	0
EIL	TFF	sugarcane	26	12.5	810	2.35	0.579	34.6	0
E2F-DP	TFF	sugarcane	26	9.5	1619.1	2.41	0.624	34.6	0
C2C2-YABBY	TFF	sugarcane	25	92	537.8	11.87	0.47	32	0
CPP	TFF	sugarcane	25	88	2985.8	5.57	0.736	28	0
zf-C5HC2	TFF	sugarcane	23	12	128	2.02	0.45	43.5	0
SRS	TFF	sugarcane	23	8	34.3	1.15	0.186	8.7	0
BES1	TFF	sugarcane	22	17.5	2052.2	1.43	0.587	50	0
ARR-B	TFF	sugarcane	21	53	1744.8	6.62	0.55	66.7	14.3
Trihelix	TFF	sugarcane	17	92	730.8	11.28	0.598	47.1	0
DBP	TFF	sugarcane	16	62	1061.2	7.92	0.511	56.2	0
SWI/SNF-SWI3	OTR	sugarcane	14	181.5	3683.6	14.39	0.785	71.4	0
G2-like	TFF	sugarcane	13	259	333.3	39.16	0.539	61.5	7.7
PBF-2-like	TFF	sugarcane	12	97	320.5	13.99	0.382	41.7	0
Not1	TFF	sugarcane	11	110	3025	17.28	0.564	81.8	0
zf-fF-X1	TFF	sugarcane	11	13	1309.3	1.17	0.557	45.5	0
BBR/BPC	TFF	sugarcane	11	48	1672.3	4.83	0.801	45.5	0
SART-1	OTR	sugarcane	10	8914	7932.7	2283.29	0.74	20	0
CAMTA	TFF	sugarcane	10	101.5	2751.6	12.93	0.59	60	0
CSD	TFF	sugarcane	10	237	1841.8	31.66	0.442	40	0
NOT2_3_5	OTR	sugarcane	9	119	4012.6	12.63	0.792	66.7	0
TFIID	TFF	sugarcane	9	68	1778.8	21.97	0.46	0	0
VOZ	TFF	sugarcane	8	6097.5	5635.6	1071.34	0.832	75	0
Coactivator_p15	OTR	sugarcane	8	6.5	1494.8	0.46	0.467	50	0
Tudor-knot	OTR	sugarcane	7	1137	5591	126.33	0.704	57.1	0
Rcd1-like	OTR	sugarcane	7	277	3121	33.09	0.731	71.4	0
MBF1	OTR	sugarcane	6	193.5	2100.8	21.29	0.593	83.3	0
S1Fa-like	TFF	sugarcane	6	208.5	1989.8	26.81	0.579	0	0
RB	OTR	sugarcane	6	3519	5077	682.34	0.876	33.3	0
SOH1	OTR	sugarcane	4	2	71.8	0.45	0.489	25	0
zf-MIZ	OTR	sugarcane	4	316.5	3056.2	30.82	0.696	50	0
HRT	TFF	sugarcane	4	47.5	2422.2	9.77	0.355	75	0
C1-4-t1	TFF	sugarcane	4	73.5	3080.8	9.49	0.615	25	0
Yl1	TFF	sugarcane	4	122	3403.8	12.02	0.494	50	0
TFIIS	TFF	sugarcane	3	139	1860.3	18.17	0.459	100	33.3
NOZZLE	TFF	sugarcane	3	15	85.7	3.6	0.267	0	0
MED7	OTR	sugarcane	2	5681.5	5681.5	1789.17	0.52	0	0
SGT1	OTR	sugarcane	2	3228	3228	586.55	0.963	50	0
MED6	OTR	sugarcane	1	5	5	0.47	0.3	100	0
